# Logfile created on 2017-08-19 02:16:55 +1000 by logger.rb/56815
I, [2017-08-19T02:16:55.415098 #3283]  INFO -- : Bake My Day v0.1.0 Populating Menu... 

A, [2017-08-19T02:16:55.415258 #3283]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:16:55.415316 #3283]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:16:55.415566 #3283]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:16:55.415621 #3283]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:16:55.415672 #3283]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:16:55.415733 #3283]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:16:55.415784 #3283]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:16:55.415834 #3283]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:16:55.415894 #3283]   ANY -- : VS5 Vegemite Scroll
A, [2017-08-19T02:16:55.415968 #3283]   ANY -- : 3 at $ 6.99
A, [2017-08-19T02:16:55.416021 #3283]   ANY -- : 5 at $ 8.99
A, [2017-08-19T02:16:55.416070 #3283]   ANY -- : MB11 Blueberry Muffin
A, [2017-08-19T02:16:55.416167 #3283]   ANY -- : 2 at $ 9.95
A, [2017-08-19T02:16:55.416219 #3283]   ANY -- : 5 at $ 16.95
A, [2017-08-19T02:16:55.416270 #3283]   ANY -- : 8 at $ 24.95
A, [2017-08-19T02:16:55.416319 #3283]   ANY -- : CF Croissant
A, [2017-08-19T02:16:55.416370 #3283]   ANY -- : 3 at $ 5.95
A, [2017-08-19T02:16:55.416421 #3283]   ANY -- : 5 at $ 9.95
A, [2017-08-19T02:16:55.416471 #3283]   ANY -- : 9 at $ 16.99
A, [2017-08-19T02:16:55.416532 #3283]   ANY -- : 
[Quantity]<space>[Item Code] >> 
D, [2017-08-19T02:17:03.516133 #3283] DEBUG -- : 
Input.new: { quantity: 13, item code: VFS6 }

A, [2017-08-19T02:17:03.516328 #3283]   ANY -- : 	Item VFS6 not found.
A, [2017-08-19T02:17:03.516402 #3283]   ANY -- : 	Item VFS6 not found.
D, [2017-08-19T02:17:03.516514 #3283] DEBUG -- : 
OrderItem.new: { remaining_units: 13 menu_item: -1 }

