# Logfile created on 2017-08-19 02:05:59 +1000 by logger.rb/56815
I, [2017-08-19T02:05:59.537886 #3182]  INFO -- : Bake My Day v0.1.0 Populating Menu... 

A, [2017-08-19T02:05:59.538007 #3182]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:05:59.538114 #3182]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:05:59.538178 #3182]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:05:59.538231 #3182]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:05:59.538281 #3182]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:05:59.538342 #3182]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:05:59.538393 #3182]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:05:59.538444 #3182]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:05:59.538504 #3182]   ANY -- : VS5 Vegemite Scroll
A, [2017-08-19T02:05:59.538577 #3182]   ANY -- : 3 at $ 6.99
A, [2017-08-19T02:05:59.538630 #3182]   ANY -- : 5 at $ 8.99
A, [2017-08-19T02:05:59.538679 #3182]   ANY -- : MB11 Blueberry Muffin
A, [2017-08-19T02:05:59.538729 #3182]   ANY -- : 2 at $ 9.95
A, [2017-08-19T02:05:59.538780 #3182]   ANY -- : 5 at $ 16.95
A, [2017-08-19T02:05:59.538830 #3182]   ANY -- : 8 at $ 24.95
A, [2017-08-19T02:05:59.538918 #3182]   ANY -- : CF Croissant
A, [2017-08-19T02:05:59.538969 #3182]   ANY -- : 3 at $ 5.95
A, [2017-08-19T02:05:59.539020 #3182]   ANY -- : 5 at $ 9.95
A, [2017-08-19T02:05:59.539069 #3182]   ANY -- : 9 at $ 16.99
A, [2017-08-19T02:05:59.539131 #3182]   ANY -- : 
[Quantity]<space>[Item Code] >> 
D, [2017-08-19T02:06:12.656213 #3182] DEBUG -- : 
Input.new: { quantity: 16, item code: VFS3 }

A, [2017-08-19T02:06:12.656457 #3182]   ANY -- : 	Item VFS3 not found.
